PLANET,MASS,RADIUS,PERIOD,ECC,OMEGA,THZC,THZO,TEQA,TEQB,TEQC,TEQD,OHZIN,CHZIN,CHZOUT,OHZOUT
Kepler-17 b                   ,  2.450,  1.310,      1.5,0.011, 90.0,  0.0,  0.0,2121.7,1784.2,2098.5,1764.7,  0.789,  0.999,  1.762,  1.859
Kepler-180 b                  ,       ,  0.134,     13.8,0.000, 90.0,  0.0,  0.0,1024.7, 861.7,1024.7, 861.7,  0.785,  0.994,  1.756,  1.852
Kepler-180 c                  ,       ,  0.269,     41.9,0.000, 90.0,  0.0,  0.0, 707.0, 594.5, 707.0, 594.5,  0.785,  0.994,  1.756,  1.852
Kepler-181 b                  ,       ,  0.113,      3.1,0.000, 90.0,  0.0,  0.0,1324.0,1113.4,1324.0,1113.4,  0.492,  0.623,  1.114,  1.175
Kepler-181 c                  ,       ,  0.178,      4.3,0.000, 90.0,  0.0,  0.0,1196.3,1005.9,1196.3,1005.9,  0.492,  0.623,  1.114,  1.175
Kepler-182 b                  ,       ,  0.230,      9.8,0.000, 90.0,  0.0,  0.0,1240.3,1043.0,1240.3,1043.0,  0.982,  1.243,  2.169,  2.288
Kepler-182 c                  ,       ,  0.306,     20.7,0.000, 90.0,  0.0,  0.0, 969.9, 815.5, 969.9, 815.5,  0.982,  1.243,  2.169,  2.288
Kepler-183 b                  ,       ,  0.184,      5.7,0.000, 90.0,  0.0,  0.0,1307.5,1099.5,1307.5,1099.5,  0.743,  0.942,  1.656,  1.747
Kepler-183 c                  ,       ,  0.203,     11.6,0.000, 90.0,  0.0,  0.0,1030.7, 866.7,1030.7, 866.7,  0.743,  0.942,  1.656,  1.747
Kepler-184 b                  ,       ,  0.211,     10.7,0.000, 90.0,  0.0,  0.0,1020.5, 858.2,1020.5, 858.2,  0.655,  0.830,  1.463,  1.543
Kepler-184 c                  ,       ,  0.176,     20.3,0.000, 90.0,  0.0,  0.0, 824.3, 693.2, 824.3, 693.2,  0.655,  0.830,  1.463,  1.543
Kepler-184 d                  ,       ,  0.222,     29.0,0.000, 90.0,  0.0,  0.0, 731.6, 615.2, 731.6, 615.2,  0.655,  0.830,  1.463,  1.543
Kepler-185 b                  ,       ,  0.104,      1.6,0.000, 90.0,  0.0,  0.0,1666.7,1401.5,1666.7,1401.5,  0.510,  0.646,  1.160,  1.224
Kepler-185 c                  ,       ,  0.180,     20.7,0.000, 90.0,  0.0,  0.0, 720.8, 606.1, 720.8, 606.1,  0.510,  0.646,  1.160,  1.224
Kepler-186 b                  ,       ,  0.095,      3.9,0.000, 90.0,  0.0,  0.0, 865.9, 728.2, 865.9, 728.2,  0.191,  0.242,  0.464,  0.489
Kepler-186 c                  ,       ,  0.112,      7.3,0.000, 90.0,  0.0,  0.0, 755.2, 635.0, 755.2, 635.0,  0.191,  0.242,  0.464,  0.489
Kepler-186 d                  ,       ,  0.125,     13.3,0.000, 90.0,  0.0,  0.0, 573.9, 482.6, 573.9, 482.6,  0.191,  0.242,  0.464,  0.489
Kepler-186 e                  ,       ,  0.113,     22.4,0.000, 90.0,  0.0,  0.0, 483.5, 406.6, 483.5, 406.6,  0.191,  0.242,  0.464,  0.489
Kepler-186 f                  ,       ,  0.104,    129.9,0.040, 90.0,100.0,100.0, 249.0, 209.4, 239.3, 201.2,  0.191,  0.242,  0.464,  0.489
Kepler-187 b                  ,       ,  0.126,      4.9,0.000, 90.0,  0.0,  0.0,1636.8,1376.3,1636.8,1376.3,  1.060,  1.342,  2.349,  2.478
Kepler-187 c                  ,       ,  0.238,     10.6,0.000, 90.0,  0.0,  0.0,1263.5,1062.5,1263.5,1062.5,  1.060,  1.342,  2.349,  2.478
Kepler-188 b                  ,       ,  0.150,      2.1,0.000, 90.0,  0.0,  0.0,2060.5,1732.7,2060.5,1732.7,  0.916,  1.160,  2.033,  2.145
